16940.00,199.36
27456.00,190.69
38196.00,184.37
48716.00,190.55
59468.00,185.74
70144.00,192.75
80876.00,186.99
91596.00,187.69
102492.00,194.70
124508.00,178.83
140784.00,185.60
162700.00,186.15
179116.00,184.23
195664.00,211.69
216028.00,232.13
234452.00,313.68
252208.00,378.21
272472.00,423.73
290240.00,491.16
308640.00,524.11
327484.00,563.06
347012.00,603.86
365664.00,625.00
383516.00,632.91
402312.00,688.71
420648.00,692.52
440036.00,704.23
458976.00,714.29
477560.00,733.14
495904.00,762.20
514032.00,764.53
533344.00,764.53
552484.00,769.23
571416.00,781.25
590240.00,781.25
608912.00,786.16
627524.00,786.16
646080.00,769.23
664516.00,801.28
682924.00,803.86
701296.00,801.28
720500.00,704.23
740192.00,578.70
757728.00,496.03
778204.00,421.59
796592.00,366.57
814296.00,327.65
834112.00,291.72
852004.00,277.16
871440.00,251.76
892284.00,239.23
909836.00,229
