12048.00,470.81
18580.00,478.01
25148.00,460.41
31644.00,470.81
38160.00,474.38
49148.00,467.29
66812.00,464.68
84492.00,463.82
102308.00,462.11
120116.00,460.41
140264.00,458.72
158208.00,445.63
176124.00,456.20
196344.00,462.11
214292.00,462.11
232320.00,460.41
252520.00,463.82
270608.00,455.37
288440.00,474.38
307112.00,521.92
326140.00,560.54
345772.00,595.24
364340.00,631.31
382104.00,651.04
400828.00,684.93
420528.00,696.38
438224.00,718.39
457000.00,716.33
476800.00,744.05
494956.00,735.29
514204.00,771.60
531912.00,786.16
550804.00,764.53
569508.00,778.82
588084.00,771.60
607832.00,791.14
626188.00,798.72
644504.00,776.40
663976.00,816.99
682148.00,816.99
701544.00,811.69
719616.00,822.37
738916.00,803.86
756888.00,811.69
776124.00,819.67
794288.00,781.25
812708.00,724.64
832852.00,647.67
851236.00,592.42
868816.00,573.39
889204.00,550.66
906584.00,524.11
926416.00,521.92
944856.00,498.01
963536.00,489.24
982628.00,482.63
999772.00,476.19
1019312.00,469.92
1038996.00,472.59
1058756.00,469.92
1078740.00,466.42
1098704.00,472.59
1118856.00,462.11
1138904.00,457.88
1156868.00,465.00
